rank	title	author_name	year	n_citation
826	Methods and techniques of adaptive hypermedia	Peter Brusilovsky	1996	4365
827	Iterative decoding of binary block and convolutional codes	Joachim Hagenauer	1996	3116
828	Mach: A New Kernel Foundation for UNIX Development.	Michael J. Accetta	1986	1394
829	Graph structure in the web	Andrei Z. Broder	2000	2638
830	Modeling and rendering architecture from photographs: a hybrid geometry- and image-based approach	Paul E. Debevec	1996	2550
831	Semi-supervised learning using Gaussian fields and harmonic functions	Xiaojin Zhu	2003	2878
832	Automatic signature verification and writer identification — the state of the art	Réjean Plamondon	1989	1235
833	Representations for Rigid Solids: Theory, Methods, and Systems	Aristides A. G. Requicha	1980	1744
834	A theory of diagnosis from first principles	Raymond Reiter	1987	3894
835	Determinants of Perceived Ease of Use: Integrating Control, Intrinsic Motivation, and Emotion into the Technology Acceptance Model	Viswanath Venkatesh	2000	4748
836	Weighted voting for replicated data	David K. Gifford	1979	1330
837	From data mining to knowledge discovery: an overview	Usama M. Fayyad	1996	3616
838	EigenTracking: Robust Matching and Tracking of Articulated Objects Using a View-Based Representation	Michael J. Black	1996	1144
839	Review of pseudoinverse control for use with kinematically redundant manipulators	Charles A. Klein	1983	1103
840	Signal Delay in RC Tree Networks	Jorge Rubinstein	1983	1299
841	Discovery of Multiple-Level Association Rules from Large Databases	Jiawei Han	1995	1590
842	How do people organize their desks?: Implications for the design of office information systems	Thomas W. Malone	1983	991
843	Practical network support for IP traceback	Stefan Savage	2000	1808
844	Software architecture: perspectives on an emerging discipline	Mary Shaw	1996	5451
845	Testing for the consecutive ones property, interval graphs, and graph planarity using PQ-tree algorithms	Kellogg S. Booth	1976	1767
846	Probabilistic independent component analysis for functional magnetic resonance imaging	Christian F. Beckmann	2004	1563
847	Multiresolution analysis of arbitrary meshes	Matthias Eck	1995	1842
848	The WEKA data mining software: an update	Mark A. Hall	2009	16624
849	A recursive approach to low complexity codes	Robert Michael Tanner	1981	2077
850	Fitts' law as a research and design tool in human-computer interaction	I. Scott MacKenzie	1992	1320
851	P-Complete Approximation Problems	Sartaj Sahni	1976	1738
852	Characterizing Superposition Arrival Processes in Packet Multiplexers for Voice and Data	Kotikalapudi Sriram	1986	944
853	Fuzzy logic in control systems: fuzzy logic controller. II	Chuen Chien Lee	1990	1942
854	A note on the confinement problem	Butler W. Lampson	1973	1145
855	Developing and Validating Trust Measures for e-Commerce: An Integrative Typology	D. Harrison McKnight	2002	4017
856	Simulation-based comparisons of Tahoe, Reno and SACK TCP	Kevin R. Fall	1996	545
857	The Complexity of Flowshop and Jobshop Scheduling	M. R. Garey	1976	2440
858	Structural Equation Modeling and Regression: Guidelines for Research Practice	David Gefen	2000	5498
859	Toward memory-based reasoning	Craig Stanfill	1986	1182
860	Logical foundations of object-oriented and frame-based languages	Michael Kifer	1995	710
861	Research Commentary: Desperately Seeking the IT in IT Research--A Call to Theorizing the IT Artifact	Wanda J. Orlikowski	2001	2615
862	Photobook: content-based manipulation of image databases	Alex Pentland	1996	1781
863	A database of human segmented natural images and its application to evaluating segmentation algorithms and measuring ecological statistics	David R. Martin	2001	4104
864	A machine program for theorem-proving	Martin Davis	1962	3902
865	A solution to the simultaneous localization and map building (SLAM) problem	M. W. M. G. Dissanayake	2001	2826
866	The zero error capacity of a noisy channel	Claude E. Shannon	1956	1223
867	Evaluation techniques for storage hierarchies	Richard L. Mattson	1970	1398
868	Axiomatic derivation of the principle of maximum entropy and the principle of minimum cross-entropy	John E. Shore	1980	1557
869	Mining the peanut gallery: opinion extraction and semantic classification of product reviews	Kushal S. Dave	2003	2272
870	Modeling and Segmentation of Noisy and Textured Images Using Gibbs Random Fields	Haluk Derin	1987	1240
871	Multiresolution elastic matching	Ruzena Bajcsy	1989	1340
872	Learnability and the Vapnik-Chervonenkis dimension	Anselm Blumer	1989	1908
873	Software Function, Source Lines of Code, and Development Effort Prediction: A Software Science Validation	Allan J. Albrecht	1983	1903
874	Web server workload characterization: the search for invariants	Martin F. Arlitt	1996	912
875	Myrinet: a gigabit-per-second local area network	Nanette J. Boden	1995	2654
876	Hidden Markov models for detecting remote protein homologies.	Kevin Karplus	1998	1307
877	A Pragmatic View of Knowledge and Boundaries: Boundary Objects in New Product Development	Paul Carlile	2002	3057
878	PROBABILISTIC DIVERSIFICATION AND INTENSIFICATION IN LOCAL SEARCH FOR VEHICLE ROUTING	Yves Rochat	1995	1098
879	Eliciting Self-Explanations Improves Understanding	Michelene T. H. Chi	1994	2764
880	Hyperspectral image classification and dimensionality reduction: an orthogonal subspace projection approach	Joseph C. Harsanyi	1994	315
881	The R+-Tree: A Dynamic Index for Multi-Dimensional Objects	Timos K. Sellis	1987	2027
882	Animating rotation with quaternion curves	Ken Shoemake	1985	502
883	Analysis of TCP performance over mobile ad hoc networks	Gavin Holland	1999	1342
884	Ontologies: principles, methods and applications	Michael Uschold	1996	4773
885	The Optimal Control of Partially Observable Markov Processes over a Finite Horizon	Richard D. Smallwood	1973	1414
886	Multichannel texture analysis using localized spatial filters	Alan C. Bovik	1990	1910
887	Reasoning about knowledge	Ronald Fagin	1995	4592
888	Lightpath communications: an approach to high bandwidth optical WAN's	Imrich Chlamtac	1992	1637
889	Understanding packet delivery performance in dense wireless sensor networks	Jerry Zhao	2003	1643
890	Dependence graphs and compiler optimizations	David J. Kuck	1981	858
891	Behavior-based formation control for multirobot teams	Tucker R. Balch	1998	2867
892	Overview of Control and Grid Synchronization for Distributed Power Generation Systems	Frede Blaabjerg	2006	2928
893	Fab: content-based, collaborative recommendation	Marko Balabanovic	1997	3979
894	An effective hash-based algorithm for mining association rules	Jong Soo Park	1995	2294
895	Linear cryptanalysis method for DES cipher	Mitsuru Matsui	1994	1666
896	Digital Image Enhancement and Noise Filtering by Use of Local Statistics	Jong-Sen Lee	1980	491
897	A Reflectance Model for Computer Graphics	Robert L. Cook	1982	1432
898	A distance routing effect algorithm for mobility (DREAM)	Stefano Basagni	1998	2039
899	Efficiently mining long patterns from databases	Roberto J. Bayardo	1998	667
900	Independent component analysis: algorithms and applications	Aapo Hyvärinen	2000	6462
901	A validity measure for fuzzy clustering	Xuanli Lisa Xie	1991	4036
902	Database mining: a performance perspective	Rakesh Agrawal	1993	1942
903	Learning with Local and Global Consistency	Dengyong Zhou	2004	2818
904	A key-management scheme for distributed sensor networks	Laurent Eschenauer	2002	2909
905	A Transformation System for Developing Recursive Programs	Rod M. Burstall	1977	1847
906	A fast quantum mechanical algorithm for database search	Lov K. Grover	1996	2291
907	Regularization of Inverse Visual Problems Involving Discontinuities	Demetri Terzopoulos	1986	1107
908	Three models for the description of language	Noam Chomsky	1956	393
909	The DeLone and McLean Model of Information Systems Success: A Ten-Year Update	William H. DeLone	2003	8964
910	Semantics of context-free languages	Donald E. Knuth	1968	2107
911	Using linear algebra for intelligent information retrieval	Michael W. Berry	1995	2100
912	Input Versus Output Queueing on a Space-Division Packet Switch	Mark J. Karol	1987	573
913	Plenoptic modeling: an image-based rendering system	Leonard McMillan	1995	1913
914	The impact of global signal regression on resting state correlations: Are anti-correlated networks introduced?	Kevin Murphy	2009	1406
915	Recommending and evaluating choices in a virtual community of use	William C. Hill	1995	871
916	User acceptance of information technology: system characteristics, user perceptions and behavioral impacts	Fred D. Davis	1993	2886
917	A survey of the Hough transform	John Illingworth	1988	1542
918	Extensible Markup Language (XML).	Tim Bray	1997	560
919	Planning in a hierarchy of abstraction spaces	Earl D. Sacerdoti	1974	1524
920	A new location technique for the active office	Andy Ward	1997	1889
921	Evolutionary programming made faster	Xin Yao	1999	2716
922	MBONE: the multicast backbone	Hans Eriksson	1994	1057
923	Estimating the Support of a High-Dimensional Distribution	Bernhard Schölkopf	2001	3726
924	Automatic translation of FORTRAN programs to vector form	Randy Allen	1987	828
925	Universal approximation using radial-basis-function networks	Joo-Young Park	1991	3159
926	Learning in Artificial Neural Networks: A Statistical Perspective	Halbert White	1989	1086
927	Word problems requiring exponential time(Preliminary Report)	Larry J. Stockmeyer	1973	813
928	Surround-screen projection-based virtual reality: the design and implementation of the CAVE	Carolina Cruz-Neira	1993	3185
929	Self-organization in a perceptual network	Ralph Linsker	1988	967
930	Algorithms, games, and the internet	Christos H. Papadimitriou	2001	1145
931	Unveiling turbo codes: some results on parallel concatenated coding schemes	Sergio Benedetto	1996	1560
932	Robust Face Recognition via Sparse Representation	John Wright	2009	7519
933	Cooperative Sensing among Cognitive Radios	Shridhar Mubaraq Mishra	2006	1617
934	Methods of combining multiple classifiers and their applications to handwriting recognition	Lei Xu	1992	2626
935	Optimal computer folding of large RNA sequences using thermodynamics and auxiliary information	Michael Zuker	1981	3476
936	Object exchange across heterogeneous information sources	Yannis Papakonstantinou	1995	1183
937	Activity recognition from user-annotated acceleration data	Ling Bao	2004	1049
938	Voronoi diagrams—a survey of a fundamental geometric data structure	Franz Aurenhammer	1991	2404
939	Stereo by Intra- and Inter-Scanline Search Using Dynamic Programming	Yuichi Ohta	1985	1365
940	Disconnected operation in the Coda File System	James J. Kistler	1992	1944
941	Coordination in software development	Robert E. Kraut	1995	1325
942	Optimization flow control—I: basic algorithm and convergence	Steven H. Low	1999	2200
943	A practical Bayesian framework for backpropagation networks	David J. C. MacKay	1992	1893
944	Equivariant adaptive source separation	J.-F. Cardoso	1996	1865
945	The COG database: new developments in phylogenetic classification of proteins from complete genomes	Roman L. Tatusov	2001	1748
946	Generative programming: methods, tools, and applications	Krzysztof Czarnecki	2000	3400
947	Particle Systems—a Technique for Modeling a Class of Fuzzy Objects	William T. Reeves	1983	1253
948	Wavelets and filter banks: theory and design	Martin Vetterli	1992	2290
949	Performance modeling of asynchronous data transfer methods of IEEE 802.11 MAC protocol	Harshal S. Chhaya	1997	385
950	Improving direct-mapped cache performance by the addition of a small fully-associative cache and prefetch buffers	Norman P. Jouppi	1990	1408
951	Near optimum error correcting coding and decoding: turbo-codes	Claude Berrou	1996	3691
952	The design philosophy of the DARPA Internet Protocols	David D. Clark	1988	1342
953	Energy-efficient computing for wildlife tracking: design tradeoffs and early experiences with ZebraNet	Philo Juang	2002	2391
954	Learning Logical Definitions from Relations	J. R. Quinlan	1990	1868
955	The TAME project: towards improvement-oriented software environments	Victor R. Basili	1988	1662
956	Two case studies of open source software development: Apache and Mozilla	Audris Mockus	2002	1868
957	Architectural considerations for a new generation of protocols	David D. Clark	1990	1787
958	Dynamic itemset counting and implication rules for market basket data	Sergey Brin	1997	2583
959	Efficient implementation of a BDD package	Karl S. Brace	1990	1555
960	Reasoning about knowledge and action	Robert C. Moore	1977	510
961	The vision of autonomic computing	Jeffrey O. Kephart	2003	6286
962	Receiver-driven layered multicast	Steven McCanne	1996	1985
963	A reliable multicast framework for light-weight sessions and application level framing	Sally Floyd	1995	1366
964	Broadcast channels with confidential messages	Imre Csiszár	1978	2626
965	Pig latin: a not-so-foreign language for data processing	Christopher Olston	2008	2109
966	LIBLINEAR: A Library for Large Linear Classification	Rong-En Fan	2008	5864
967	Approximation algorithms for NP-hard problems	Dorit S. Hochbaum	1996	2205
968	A transmission control scheme for media access in sensor networks	Alec Woo	2001	1358
969	Interference Alignment and Degrees of Freedom of the $K$ -User Interference Channel	Viveck R. Cadambe	2008	1636
970	Computability and Unsolvability.	Louis O. Kattsoff	1959	896
971	A scheme for real-time channel establishment in wide-area networks	Domenico Ferrari	1990	1583
972	Alignment by maximization of mutual information	Paul A. Viola	1995	4195
973	Paper: Rating and ranking of multiple-aspect alternatives using fuzzy sets	Sjoerd M. Baas	1977	167
974	Social Analyses of Computing: Theoretical Perspectives in Recent Empirical Research	Rob Kling	1980	780
975	On the limited memory BFGS method for large scale optimization	Dong C. Liu	1989	4161
976	Pictorial Structures for Object Recognition	Pedro F. Felzenszwalb	2005	2249
977	How bad is selfish routing	Tim Roughgarden	2002	1959
978	A Markov Modulated Characterization of Packetized Voice and Data Traffic and Related Statistical Multiplexer Performance	Harry Heffes	1986	1580
979	Accuracy and Stability of Numerical Algorithms	Nicholas J. Higham	1996	4269
980	Data types as lattices	Dana S. Scott	1976	1065
981	A comparative analysis of methodologies for database schema integration	Carlo Batini	1986	2510
982	Entrez Gene: gene-centered information at NCBI	Donna Maglott	2004	1382
983	Gray-level corner detection	Les Kitchen	1982	901
984	Password security: a case history	Robert Morris	1979	961
985	A new method for solving hard satisfiability problems	Bart Selman	1992	1481
986	Introduction to Information Retrieval	Christopher D. Manning	2008	12627
987	Edit wear and read wear	William C. Hill	1992	477
988	Managing Channel Profits	Abel P. Jeuland	2008	1392
989	Finite-dimensional variational inequality and nonlinear complementarity problems: a survey of theory, algorithms and applications	Patrick T. Harker	1990	2122
990	Predictive Coding Based on Efficient Motion Estimation	R. Srinivasan	1985	743
991	A Bayesian hierarchical model for learning natural scene categories	Li Fei-Fei	2005	3502
992	A fast file system for UNIX	Marshall Kirk Mckusick	1984	1049
993	The Case for Energy-Proportional Computing	Luiz André Barroso	2007	2356
994	An Empirical Comparison of Voting Classification Algorithms: Bagging, Boosting, and Variants	E. Bauer	1999	2530
995	The Grid File: An Adaptable, Symmetric Multikey File Structure	Jürg Nievergelt	1984	613
996	The COG database: an updated version includes eukaryotes	Roman L. Tatusov	2003	3233
997	Strategic planning for management information systems	William R. King	1978	159
998	Asymptotically optimal block quantization	Allen Gersho	1979	1237
999	The role of emotion in believable agents	Joseph Bates	1994	1405
1000	Adaptive fuzzy systems and control: design and stability analysis	Li-Xin Wang	1994	4338
1001	Minimum disclosure proofs of knowledge	Gilles Brassard	1988	1021
1002	Neural networks and fuzzy systems: a dynamical systems approach to machine intelligence	Bart Kosko	1991	543
1003	Paper: The internal model principle of control theory	Babette Francis	1976	2425
1004	A signal processing approach to fair surface design	Gabriel Taubin	1995	2024
1005	A niched Pareto genetic algorithm for multiobjective optimization	Jeffrey Horn	1994	2923
1006	Robust frequency and timing synchronization for OFDM	Timothy M. Schmidl	1997	4222
1007	Greedy Randomized Adaptive Search Procedures	Thomas A. Feo	1995	2942
1008	A scalable location service for geographic ad hoc routing	Jinyang Li	2000	2154
1009	Dynamo: amazon's highly available key-value store	Giuseppe Decandia	2007	1441
1010	Evolutionary algorithms for constrained parameter optimization problems	Zbigniew Michalewicz	1996	1714
1011	Learning to act using real-time dynamic programming	Andrew G. Barto	1995	1281
1012	Adaptive load sharing in homogeneous distributed systems	Derek L. Eager	1986	1335
1013	The nesC language: a holistic approach to networked embedded systems	David Gay	2003	825
1014	Global and local deformations of solid primitives	Alan H. Barr	1984	1084
1015	A muscle model for animation three-dimensional facial expression	Keith Waters	1987	1313
1016	An Industry Equilibrium Analysis of Downstream Vertical Integration	Timothy W. McGuire	2008	723
1017	Beyond accuracy: what data quality means to data consumers	Richard Y. Wang	1996	3264
1018	Gender differences in the perception and use of E-mail: an extension to the technology acceptance model	David Gefen	1997	1949
1019	A scheduling model for reduced CPU energy	F. Frances Yao	1995	1504
1020	Ant algorithms for discrete optimization	Marco Dorigo	1999	3517
1021	Virtual cut-through: A new computer communication switching technique	Parviz Kermani	1979	1302
1022	A control-theoretic approach to flow control	Srinivasan Keshav	1991	1086
1023	Generative communication in Linda	David Gelernter	1985	3430
1024	Camera Self-Calibration: Theory and Experiments	Olivier D. Faugeras	1992	1296
1025	DAML-S: Web Service Description for the Semantic Web	Mark H. Burstein	2002	472
1026	The multitone channel	Irving Kalet	1989	764
1027	An overlap invariant entropy measure of 3D medical image alignment	Colin Studholme	1999	2428
1028	Fuzzy logic = computing with words	Lotfi A. Zadeh	1996	2846
1029	Decentralized cognitive MAC for opportunistic spectrum access in ad hoc networks: A POMDP framework	Qing Zhao	2007	1736
1030	Femtocell networks: a survey	Vikram Chandrasekhar	2008	3058
1031	Online Mendelian Inheritance in Man (OMIM), a knowledgebase of human genes and genetic disorders	Ada Hamosh	2002	1502
1032	Public-key cryptosystems based on composite degree residuosity classes	Pascal Paillier	1999	4637
1033	Robust wide-baseline stereo from maximally stable extremal regions	Jiri Matas	2004	1575
1034	Linear network coding	Shuo-Yen Robert Li	2003	3737
1035	Robust Convex Optimization	Aharon Ben-Tal	1998	2008
1036	Why don't men ever stop to ask for directions? Gender, social influence, and their role in technology acceptance and usage behavior	Viswanath Venkatesh	2000	4022
1037	Representing moving images with layers	John Y. A. Wang	1994	1462
1038	An Evaluation of Statistical Approaches to Text Categorization	Yiming Yang	1999	2537
1039	Solving the multiple instance problem with axis-parallel rectangles	Thomas G. Dietterich	1997	1933
1040	Multiresolution-based image fusion with additive wavelet decomposition	Jorge Núñez	1999	1228
1041	On the asymptotic eigenvalue distribution of Toeplitz matrices	Robert M. Gray	1972	589
1042	On image analysis by the methods of moments	Cho-Huak Teh	1988	1132
1043	The Web of Computing: Computer Technology as Social Organization.	Rob Kling	1982	556
1044	Self-Organization in Biological Systems	Scott Camazine	2001	3703
1045	Shape description using weighted symmetric axis features	Harry Blum	1978	607
1046	Termination detection for diffusing computations	Edsger W. Dijkstra	1980	956
1047	Regularization Networks and Support Vector Machines	Theodoros Evgeniou	2000	1300
1048	The Link between Social Cognition and Self-referential Thought in the Medial Prefrontal Cortex	Jason P. Mitchell	2005	666
1049	Efficiently computing static single assignment form and the control dependence graph	Ron Cytron	1991	2680
1050	Business value of information technology: a study of electronic data interchange	Tridas Mukhopadhyay	1995	786
1051	The Representation and Matching of Pictorial Structures	Martin A. Fischler	1973	560
1052	Guarded commands, nondeterminacy and formal derivation of programs	Edsger W. Dijkstra	1975	1593
1053	Overview of the face recognition grand challenge	P.J. Phillips	2005	2315
1054	Forward Reasoning and Dependency-Directed Backtracking in a System for Computer-Aided Circuit Analysis	Richard M. Stallman	1977	984
1055	The recognition of human movement using temporal templates	Aaron F. Bobick	2001	2735
1056	The psychology of computer vision	Patrick Henry Winston	1976	2209
1057	Applications of circumscription to formalizing common-sense knowledge	John McCarthy	1987	1543
1058	Query evaluation techniques for large databases	Goetz Graefe	1993	1335
1059	Portholes: supporting awareness in a distributed work group	Paul Dourish	1992	1323
1060	An efficient boosting algorithm for combining preferences	Yoav Freund	2003	1968
1061	Functional grouping and cortical–subcortical interactions in emotion: A meta-analysis of neuroimaging studies	Hedy Kober	2008	694
1062	Usage patterns of collaborative tagging systems	Scott A. Golder	2006	1972
1063	Texture classification and segmentation using multiresolution simultaneous autoregressive models	Jianchang Mao	1992	885
1064	Efficient dispersal of information for security, load balancing, and fault tolerance	Michael O. Rabin	1989	2527
1065	A trace-driven analysis of the UNIX 4.2 BSD file system	John K. Ousterhout	1985	795
1066	Process fault detection based on modeling and estimation methods-A survey	Rolf Isermann	1984	259
1067	Differential cryptanalysis of the data encryption standard	Eli Biham	1993	324
1068	The NP-completeness column: An ongoing guide	David S. Johnson	1986	1018
1069	The polynomial-time hierarchy☆	Larry J. Stockmeyer	1976	1530
1070	Unified Analysis of Discontinuous Galerkin Methods for Elliptic Problems	Douglas N. Arnold	2001	2804
1071	Determining Three-Dimensional Motion and Structure from Optical Flow Generated by Several Moving Objects	Gilad Adiv	1985	363
1072	The rapid generation of mutation data matrices from protein sequences	David T. Jones	1992	4109
1073	Mining quantitative association rules in large relational tables	Ramakrishnan Srikant	1996	2307
1074	End-to-end routing behavior in the Internet	Vern Paxson	1997	1454
1075	Planning and acting in partially observable stochastic domains	Leslie Pack Kaelbling	1998	2942
1076	The PIM architecture for wide-area multicast routing	Stephen Deering	1996	826
1077	Bayesian classification (AutoClass): theory and results	Peter Cheeseman	1996	400
1078	Source coding with side information and a converse for degraded broadcast channels	Rudolf Ahlswede	1975	363
1079	Interprocedural slicing using dependence graphs	Susan Horwitz	1990	1320
1080	Heuristics for Internet map discovery	Ramesh Govindan	2000	976
1081	Selecting Software Test Data Using Data Flow Information	Sandra Rapps	1985	1319
1082	A softbot-based interface to the Internet	Oren Etzioni	1994	768
1083	The Strength of Weak Learnability	Robert E. Schapire	1990	4174
1084	A class of generalized stochastic Petri nets for the performance evaluation of multiprocessor systems	Marco Ajmone Marsan	1984	1790
1085	Speaker Verification Using Adapted Gaussian Mixture Models	Douglas A. Reynolds	2000	4684
1086	Recognition by linear combinations of models	Shimon Ullman	1991	1119
1087	GloMoSim: a library for parallel simulation of large-scale wireless networks	Xiang Zeng	1998	1377
1088	Models and issues in data stream systems	Brian Babcock	2002	3380
1089	The Neural Substrate of Human Empathy: Effects of Perspective-taking and Cognitive Appraisal	Claus Lamm	2007	1193
1090	An algebraic approach to network coding	Ralf Koetter	2003	2609
1091	The impact of information systems on organizations and markets	Vijay Gurbaxani	1991	1307
1092	NOX: towards an operating system for networks	Natasha Gude	2008	1633
1093	On seeing things	M.B. Clowes	1971	933
1094	A resource-allocating network for function interpolation	John Platt	1991	1290
1095	RCV1: A New Benchmark Collection for Text Categorization Research	David D. Lewis	2004	1970
1096	Heuristics: intelligent search strategies for computer problem solving	Judea Pearl	1984	3738
1097	Electronic data interchange and small organizations: adoption and impact of technology	Charalambos L. Iacovou	1995	2739
1098	Empirically derived analytic models of wide-area TCP connections	Vern Paxson	1994	806
1099	Extracting support data for a given task	Bernhard Schölkopf	1995	745
1100	THE ALOHA SYSTEM: another alternative for computer communications	Norman Abramson	1970	1756
1101	Rate-compatible punctured convolutional codes (RCPC codes) and their applications	Joachim Hagenauer	1988	2522
1102	Media spaces: bringing people together in a video, audio, and computing environment	Sara A. Bly	1993	1025
1103	Gaussian Processes for Regression	Christopher K. I. Williams	1996	860
1104	Snakes, shapes, and gradient vector flow	Chenyang Xu	1998	5898
1105	Least Squares Support Vector Machine Classifiers	Johan A. K. Suykens	1999	7024
1106	Case-based reasoning: foundational issues, methodological variations, and system approaches	Agnar Aamodt	1994	7322
1107	Developing fully functional E-government: A four stage model	Karen Layne	2001	495
1108	Abstraction mechanisms in CLU	Barbara Liskov	1977	1003
1109	Training feedforward networks with the Marquardt algorithm	Martin T. Hagan	1994	6324
1110	A tutorial on visual servo control	Seth Hutchinson	1996	3953
1111	The vector field histogram-fast obstacle avoidance for mobile robots	Johann Borenstein	1991	2490
1112	Imagined communities: awareness, information sharing, and privacy on the facebook	Alessandro Acquisti	2006	2177
1113	Database abstractions: aggregation and generalization	John Miles Smith	1977	1478
1114	Zippered polygon meshes from range images	Greg Turk	1994	1638
1115	A Dual-Based Procedure for Uncapacitated Facility Location	Donald Erlenkotter	1978	234
1116	Numerical shape from shading and occluding boundaries	Katsushi Ikeuchi	1981	989
1117	LINCS : A linear constraint solver for molecular simulations	Berk Hess	1997	2796
1118	The Algorithmic Analysis of Hybrid Systems	Rajeev Alur	1995	2249
1119	Points-to analysis in almost linear time	Bjarne Steensgaard	1996	841
1120	Scale & Affine Invariant Interest Point Detectors	Krystian Mikolajczyk	2004	4505
1121	PicoRadio supports ad hoc ultra-low power wireless networking	Jan M. Rabaey	2000	1444
1122	The information visualizer, an information workspace	Stuart K. Card	1991	861
1123	Paper: A linguistic self-organizing process controller	T. J. Procyk	1979	1391
1124	Fading relay channels: performance limits and space-time signal design	Rohit U. Nabar	2004	2139
1125	Increasing tree search efficiency for constraint satisfaction problems	Robert M. Haralick	1980	1689
1126	Least-Squares Fitting of Two 3-D Point Sets	K. S. Arun	1987	3587
1127	Intercepting mobile communications: the insecurity of 802.11	Nikita Borisov	2001	1352
1128	Dynamic tuning of the IEEE 802.11 protocol to achieve a theoretical throughput limit	Frederico Calì	2000	1675
1129	Self-similarity through high-variability: statistical analysis of Ethernet LAN traffic at the source level	Walter Willinger	1997	1924
1130	Exploiting Generative Models in Discriminative Classifiers	Tommi S. Jaakkola	1999	1561
1131	Program development by stepwise refinement	Niklaus Wirth	1971	1390
1132	Bridging the gap: a genre analysis of Weblogs	Susan C. Herring	2004	1391
1133	Promoting the use of end-to-end congestion control in the Internet	Sally Floyd	1999	2408
1134	Security and Privacy Aspects of Low-Cost Radio Frequency Identification Systems	Stephen A. Weis	2004	1960
1135	Automatic acquisition of hyponyms from large text corpora	Marti A. Hearst	1992	3398
1136	Protocols for self-organization of a wireless sensor network	Katayoun Sohrabi	2000	729
1137	Random walks, universal traversal sequences, and the complexity of maze problems	Romas Aleliunas	1979	684
1138	Parallel and distributed computation	Dimitri P. Bertsekas	1989	6721
1139	Linearizability: a correctness condition for concurrent objects	Maurice Herlihy	1990	2686
1140	An Information-Theoretic Definition of Similarity	Dekang Lin	1998	4526
1141	Sampling Large Databases for Association Rules	Hannu Toivonen	1996	1741
1142	Robust regression methods for computer vision: a review	Peter Meer	1991	808
1143	Segmentation using eigenvectors: a unifying view	Yair Weiss	1999	912
1144	Random key predistribution schemes for sensor networks	Haowen Chan	2003	3767
1145	Duality, achievable rates, and sum-rate capacity of Gaussian MIMO broadcast channels	Sriram Vishwanath	2003	1629
1146	Semantic Similarity Based on Corpus Statistics and Lexical Taxonomy	Jay J. Jiang	1997	3226
1147	Cloud computing and emerging IT platforms: Vision, hype, and reality for delivering computing as the 5th utility	Rajkumar Buyya	2009	5912
1148	Routing in multi-radio, multi-hop wireless mesh networks	Richard P. Draves	2004	3134
1149	Systems with finite communication bandwidth constraints. II. Stabilization with limited information feedback	Wing Shing Wong	1999	916
1150	MediaBench: a tool for evaluating and synthesizing multimedia and communicatons systems	Chunho Lee	1997	2079
1151	Smooth minimization of non-smooth functions	Yurii Nesterov	2005	1644
1152	Consistent hashing and random trees: distributed caching protocols for relieving hot spots on the World Wide Web	David R. Karger	1997	2325
1153	TCP Vegas: new techniques for congestion detection and avoidance	Lawrence S. Brakmo	1994	1780
1154	A simple Cooperative diversity method based on network path selection	Aggelos Bletsas	2006	3118
1155	CYC: a large-scale investment in knowledge infrastructure	Douglas B. Lenat	1995	1598
1156	Mental Accounting and Consumer Choice	Richard H. Thaler	2008	5312
1157	Measurement and analysis of online social networks	Alan Mislove	2007	3008
1158	Lagrangian Relaxation for Integer Programming	Arthur M. Geoffrion	2010	298
1159	An Appraisal of Some Shortest-Path Algorithms	Stuart E. Dreyfus	1969	1116
1160	An adaptive energy-efficient MAC protocol for wireless sensor networks	Tijs van Dam	2003	3803
1161	Where the really hard problems are	Peter Cheeseman	1991	984
1162	End-to-end routing behavior in the internet	Vern Paxson	1996	1353
1163	A Survey of Mobility Models for Ad Hoc Network Research	Tracy Camp	2002	5263
1164	Assessing agreement on classification tasks: the kappa statistic	Jean Carletta	1996	2185
1165	Building expert systems	Frederick Hayes-Roth	1983	2953
1166	A query language and optimization techniques for unstructured data	Peter Buneman	1996	876
1167	Extending the TAM for a World-Wide-Web context	Ji-Won Moon	2001	1750
1168	Neural networks and principal component analysis: learning from examples without local minima	Pierre Baldi	1989	1018
1169	Evidence of the effect of trust building technology in electronic markets: price premiums and buyer behavior	Sulin Ba	2002	2294
1170	Nonlinear anisotropic filtering of MRI data	Guido Gerig	1992	1256
1171	Testing Unconstrained Optimization Software	Jorge J. Moré	1981	1724
1172	A survey of medical image registration	J. B. Antoine Maintz	1998	4161
1173	Pyramidal parametrics	Lance Williams	1983	1149
1174	The context toolkit: aiding the development of context-enabled applications	Daniel Salber	1999	1346
1175	Diagnosing multiple faults	J. de Kleer	1987	2885
1176	Recognizing human actions: a local SVM approach	Christian Schuldt	2004	3073
1177	An open graph visualization system and its applications to software engineering	Emden R. Gansner	2000	1325
1178	Bayesian Network Classifiers	Nir Friedman	1997	4081
1179	The use of MMR, diversity-based reranking for reordering documents and producing summaries	Jaime G. Carbonell	1998	2144
1180	Persuasive technology: using computers to change what we think and do	B. J. Fogg	2002	3242
1181	A Perspective on Range Finding Techniques for Computer Vision	Ray A. Jarvis	1983	215
1182	Decision combination in multiple classifier systems	Tin Kam Ho	1994	1898
1183	DiamondTouch: a multi-user touch technology	Paul H. Dietz	2001	1077
1184	A Multilinear Singular Value Decomposition	Lieven De Lathauwer	2000	2785
1185	Coda: a highly available file system for a distributed workstation environment	Mahadev Satyanarayanan	1990	1446
